,ga_minimize,hyperopt_minimize,dummy_minimize,forest_minimize,gp_minimize,gbrt_minimize,smac_minimize,gpyopt_minimize
Ackley_11_r,15.321<15.564<15.814,15.909<16.193<16.488,18.363<18.429<18.515,14.443<14.569<14.699,13.257<13.557<13.822,15.808<15.924<16.063,16.475<16.551<16.629,19.899<19.919<19.959
Ackley_3_1_r,7.195<7.727<8.25,7.333<7.805<8.276,10.54<10.793<11.069,2.931<3.138<3.31,1.805<1.989<2.126,1.974<2.273<2.506,8.994<9.296<9.597,-0.042<0.042<0.085
Adjiman_2_r,-1.94<-1.91<-1.883,-1.973<-1.962<-1.951,-1.61<-1.591<-1.569,-2.021<-2.014<-2.009,-2.022<-2.022<-2.022,-1.106<-1.06<-1.003,-1.951<-1.944<-1.938,-2.022<-2.022<-2.022
Alpine02_2_ri,-5.334<-5.099<-4.874,-5.836<-5.699<-5.578,-6.024<-5.961<-5.906,-6.031<-5.878<-5.761,-5.104<-5.006<-4.902,-3.807<-3.663<-3.491,-6.085<-6.054<-6.028,-6.126<-6.09<-6.072
CarromTable_2_ri,-20.199<-19.626<-19.14,-19.389<-18.523<-17.756,-9.151<-8.182<-7.113,-20.866<-19.917<-19.12,-21.044<-20.925<-20.866,-20.984<-20.984<-20.984,-20.687<-20.545<-20.415,-18.256<-18.216<-18.137
Csendes_2_r,-0.0<0.0<0.0,0.0<0.0<0.0,-0.0<0.0<0.0,-0.0<0.0<0.0,0.0<0.0<0.0,0.0<0.0<0.0,0.0<0.0<0.0,0.0<0.0<0.0
DeflectedCorrugatedSpring_4_r,-0.524<-0.466<-0.411,-0.633<-0.587<-0.541,-0.263<-0.238<-0.209,-0.793<-0.722<-0.66,-0.398<-0.366<-0.34,-0.385<-0.378<-0.366,-0.44<-0.426<-0.411,-0.86<-0.825<-0.807
DeflectedCorrugatedSpring_7_r,0.039<0.119<0.197,-0.005<0.078<0.161,0.704<0.745<0.788,0.268<0.34<0.409,0.341<0.401<0.466,0.377<0.409<0.452,0.336<0.385<0.434,0.763<0.781<0.817
Easom_2_r,10.898<11.907<12.923,9.671<10.45<11.215,15.998<16.818<17.756,1.435<2.717<3.838,13.624<14.504<15.508,4.302<4.84<5.27,8.359<8.701<9.046,21.638<21.662<21.71
Easom_4_r,17.731<18.223<18.752,18.34<18.774<19.235,20.265<20.334<20.429,19.319<19.694<20.168,18.935<19.478<20.178,17.743<18.026<18.399,18.638<18.856<19.093,20.198<20.209<20.214
Easom_5_r,19.326<19.569<19.853,19.704<19.986<20.311,19.259<19.387<19.504,19.697<20.123<20.622,17.888<18.259<18.759,20.196<20.248<20.34,19.855<19.895<19.944,20.432<20.441<20.446
Hartmann3_3_ri,-3.624<-3.566<-3.51,-3.707<-3.672<-3.639,-3.378<-3.36<-3.339,-3.833<-3.781<-3.737,-3.865<-3.845<-3.835,-3.695<-3.659<-3.629,-3.654<-3.638<-3.623,-3.855<-3.855<-3.855
Hartmann6_6_10_r,-2.576<-2.486<-2.399,-2.384<-2.286<-2.19,-1.999<-1.963<-1.931,-2.764<-2.737<-2.707,-2.152<-2.044<-1.925,-2.191<-2.147<-2.096,-2.328<-2.271<-2.213,-3.403<-3.397<-3.394
HelicalValley_3_r,3.528<4.558<5.459,4.264<5.574<6.722,6.063<6.919<7.51,5.449<7.088<8.479,19.377<20.777<22.108,3.178<3.554<3.799,3.704<4.185<4.619,0.146<0.151<0.154
LennardJones6_6_r,-0.88<-0.836<-0.795,-0.849<-0.805<-0.762,-0.902<-0.869<-0.841,-0.998<-0.995<-0.993,-0.994<-0.952<-0.918,-0.806<-0.791<-0.779,-0.805<-0.794<-0.784,-1.0<-1.0<-1.0
McCourt01_7_10_r,0.125<0.146<0.167,0.175<0.202<0.23,0.4<0.414<0.426,0.002<0.011<0.021,0.17<0.182<0.194,-0.097<-0.088<-0.081,0.214<0.223<0.231,-0.001<0.001<0.003
McCourt03_9_r,-2.723<-2.691<-2.661,-2.655<-2.62<-2.587,-2.44<-2.424<-2.411,-2.683<-2.67<-2.658,-3.024<-3.021<-3.02,-2.907<-2.903<-2.9,-2.405<-2.39<-2.376,-3.021<-3.021<-3.021
McCourt06_5_r,2.879<2.891<2.902,2.932<2.944<2.956,3.049<3.057<3.065,2.899<2.91<2.919,2.817<2.819<2.82,2.813<2.814<2.815,2.947<2.954<2.96,2.808<2.808<2.808
McCourt07_6_12_r,-0.227<-0.206<-0.187,-0.15<-0.126<-0.103,-0.009<0.005<0.016,-0.14<-0.123<-0.104,-0.345<-0.34<-0.335,-0.333<-0.333<-0.333,-0.018<-0.009<0.0,-0.417<-0.417<-0.417
McCourt08_4_r,-3.419<-3.411<-3.404,-3.408<-3.402<-3.396,-3.242<-3.231<-3.219,-3.395<-3.391<-3.388,-3.452<-3.452<-3.452,-3.391<-3.387<-3.383,-3.412<-3.411<-3.409,-3.451<-3.451<-3.451
McCourt09_3_r,-9.368<-9.087<-8.834,-9.47<-9.359<-9.251,-8.498<-8.408<-8.326,-10.113<-9.943<-9.839,-10.171<-10.171<-10.171,-10.17<-10.08<-10.018,-9.652<-9.606<-9.563,-10.167<-10.167<-10.167
McCourt10_8_r,-1.783<-1.711<-1.641,-1.523<-1.437<-1.353,-1.491<-1.403<-1.323,-1.81<-1.77<-1.735,-1.614<-1.537<-1.451,-1.819<-1.802<-1.781,-1.127<-1.09<-1.052,-2.487<-2.482<-2.48
McCourt11_8_r,0.739<0.806<0.871,0.926<0.993<1.06,1.263<1.3<1.334,0.953<0.982<1.013,0.282<0.309<0.336,0.525<0.531<0.542,1.457<1.49<1.524,0.106<0.106<0.107
McCourt12_7_r,3.906<3.941<3.976,3.98<4.021<4.06,4.13<4.164<4.194,4.128<4.147<4.167,3.543<3.543<3.543,3.786<3.808<3.823,4.374<4.395<4.416,3.544<3.544<3.544
McCourt13_3_r,1.99<2.02<2.05,1.988<2.002<2.015,1.945<1.957<1.967,1.966<1.991<2.011,1.822<1.844<1.866,2.04<2.057<2.07,1.961<1.969<1.977,1.875<1.875<1.875
McCourt14_3_r,-4.786<-4.725<-4.668,-4.824<-4.793<-4.765,-4.813<-4.757<-4.709,-4.982<-4.974<-4.967,-5.01<-4.987<-4.974,-4.996<-4.991<-4.988,-4.745<-4.725<-4.705,-4.998<-4.998<-4.998
McCourt16_4_10_r,-0.805<-0.787<-0.769,-0.813<-0.8<-0.787,-0.716<-0.709<-0.701,-0.898<-0.892<-0.887,-0.897<-0.889<-0.882,-0.9<-0.895<-0.891,-0.812<-0.805<-0.799,-0.9<-0.9<-0.9
McCourt16_4_r,-0.773<-0.759<-0.746,-0.756<-0.746<-0.737,-0.571<-0.56<-0.547,-0.82<-0.816<-0.813,-0.759<-0.75<-0.74,-0.838<-0.831<-0.826,-0.726<-0.718<-0.711,-0.841<-0.841<-0.841
McCourt17_7_r,0.821<0.861<0.898,0.896<0.941<0.983,1.169<1.189<1.206,0.867<0.888<0.912,0.506<0.526<0.542,0.651<0.656<0.662,1.17<1.19<1.211,0.517<0.517<0.518
McCourt18_8_r,-0.908<-0.853<-0.8,-0.786<-0.721<-0.658,-0.071<-0.035<0.007,-0.601<-0.571<-0.537,-1.359<-1.343<-1.331,-1.151<-1.137<-1.127,-0.515<-0.488<-0.462,-1.351<-1.351<-1.35
McCourt19_2_r,-8.193<-8.064<-7.952,-8.259<-8.208<-8.159,-7.98<-7.9<-7.845,-8.563<-8.52<-8.487,-8.619<-8.617<-8.614,-7.976<-7.937<-7.888,-7.899<-7.878<-7.858,-8.608<-8.608<-8.608
